window,start,end,strategy,resolution,pricing_model,cadence_days,universe_size,universe,observations,initial_nav_usd,ending_nav_usd,gross_interest_usd,net_apr,gross_apr,gas_usd,turnover_nav,moves,liquidation_count,liquidation_repaid_usd,bad_debt_event_count,material_incident_count,principal_loss_usd,max_concentration,max_liquidity_shortfall,average_deployed_weight,minimum_deployed_weight,maximum_deployed_weight,final_idle_weight,daily_apr_volatility
2025-10-10-7d,2025-10-10,2025-10-16,static-constrained,HOUR,post-impact,,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056208.70700099,56388.70700098397,0.029308825793370213,0.02940268293622736,180.0,0.825,3,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.825,0.825,0.825,0.175,0.0008694025991848197
2025-10-10-7d,2025-10-10,2025-10-16,spot-chaser(top2),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100037310.28764777,38870.28764777473,0.01945464998776825,0.020268078559196823,1560.0,13.0,26,27,7685251.495898001,0,0,0.0,0.5,0.8177087378447633,1.0,1.0,1.0,0.0,0.005922530389587208
2025-10-10-7d,2025-10-10,2025-10-16,constrained-yield(1h),HOUR,post-impact,0.0416666667,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100057594.44459249,57954.44459248988,0.030031388966084007,0.030219103251798298,360.0,0.9,6,27,7685251.495898001,0,0,0.0,0.4675,0.27215679450799174,0.8651785714285714,0.825,0.87,0.13,0.0007508395040328376
2025-10-10-7d,2025-10-10,2025-10-16,constrained-yield(1d),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056920.75595522,57280.755955221844,0.029680108462365677,0.029867822748079958,360.0,0.9017391304347826,6,27,7685251.495898001,0,0,0.0,0.4675,0.2069004396435797,0.8419565217391304,0.81,0.8517391304347827,0.1482608695652174,0.0005627766616249752
2025-10-10-7d,2025-10-10,2025-10-16,constrained-yield(7d),HOUR,post-impact,7.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056208.70700099,56388.70700098397,0.029308825793370213,0.02940268293622736,180.0,0.825,3,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.825,0.825,0.825,0.175,0.0008694025991848197
