window,start,end,strategy,resolution,pricing_model,cadence_days,universe_size,universe,observations,initial_nav_usd,ending_nav_usd,gross_interest_usd,net_apr,gross_apr,gas_usd,turnover_nav,moves,liquidation_count,liquidation_repaid_usd,bad_debt_event_count,material_incident_count,principal_loss_usd,max_concentration,max_liquidity_shortfall,average_deployed_weight,minimum_deployed_weight,maximum_deployed_weight,final_idle_weight,daily_apr_volatility
2025-10-10-77d,2025-10-10,2025-12-25,static-constrained,HOUR,post-impact,,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",1848,100000000.0,100515694.46467613,515874.469337085,0.024445257091790396,0.024453789780264416,180.0,0.825,3,128,41607277.879342966,2,0,0.004660958755630391,0.4675,0.5844893129464737,0.8249999999899488,0.8249999999533904,0.825,0.175,0.0027120961289835853
2025-10-10-77d,2025-10-10,2025-12-25,spot-chaser(top2),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",1848,100000000.0,100371650.45853464,390010.4609199596,0.01761719706040798,0.01848750886179029,18360.0,152.99999999923645,306,128,41607277.879342966,2,0,0.0023853255262441917,0.5,0.8850491420935314,0.9999999999948758,0.9999999999761469,1.0,0.0,0.004726250919385464
2025-10-10-77d,2025-10-10,2025-12-25,constrained-yield(1h),HOUR,post-impact,0.0416666667,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",1848,100000000.0,100541566.93844281,543726.9426621232,0.025671679549562107,0.025774069359957786,2160.0,1.6190117634823364,36,128,41607277.879342966,2,0,0.004219306149449346,0.49693191214725085,0.6569005244680665,0.8778153210564981,0.8007537800944291,0.925,0.16255564094166103,0.0026035607925272374
2025-10-10-77d,2025-10-10,2025-12-25,constrained-yield(1d),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",1848,100000000.0,100550669.01881792,552649.0236408623,0.02610314180110931,0.02619699917258633,1980.0,1.4881186311756316,33,128,41607277.879342966,2,0,0.004822939824305406,0.49526410973025614,0.695023488859064,0.8892845158045871,0.81,0.9416110598157565,0.15384577117135226,0.0025450812991950496
2025-10-10-77d,2025-10-10,2025-12-25,constrained-yield(7d),HOUR,post-impact,7.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",1848,100000000.0,100536593.70785803,537793.7120812694,0.025435935502361,0.025492818819436793,1200.0,1.2725,20,128,41607277.879342966,2,0,0.004223242792942079,0.48875,0.6319893129464736,0.8612265505344575,0.81,0.8975490196078432,0.16462953064404237,0.0024254666348924522
